,,,,,,,,
,,,,,,,,
,Starting SOC,,,,,,,
,100% (10 MWh),,,,,,,
,,,,,,,,
,,,,,,,,
,Date/Time,Hour Ending,WFTANK Real-Time LMP,WFTANK Day-Ahead LMP,RRS (spinning reserve),REGUP,,
,45179,1, $	22.58 , $	21.49 , $	3.50 , $	2.28 ,,
,45179.0416666667,2, $	21.94 , $	19.65 , $	2.54 , $	1.32 ,,
,45179.0833333333,2, $	24.59 , $	18.71 , $	1.50 , $	1.42 ,,
,45179.125,4, $	27.43 , $	18.44 , $	1.50 , $	1.46 ,,
,45179.1666666667,5, $	21.78 , $	18.72 , $	1.50 , $	1.50 ,,
,45179.2083333333,5, $	18.73 , $	19.99 , $	2.40 , $	2.40 ,,
,45179.25,7, $	18.28 , $	18.88 , $	1.69 , $	1.69 ,,
,45179.2916666667,8, $	16.98 , $	18.45 , $	1.50 , $	1.50 ,,
,45179.3333333333,8, $	15.45 , $	17.41 , $	1.50 , $	1.50 ,,
,45179.375,10, $	14.45 , $	16.66 , $	3.40 , $	3.40 ,,
,45179.4166666667,11, $	15.62 , $	18.34 , $	1.51 , $	2.73 ,,
,45179.4583333333,11, $	18.21 , $	25.74 , $	2.00 , $	4.06 ,,
,45179.5,13, $	25.05 , $	31.13 , $	3.50 , $	6.98 ,,
,45179.5416666667,14, $	25.84 , $	42.25 , $	5.01 , $	9.01 ,,
,45179.5833333333,14, $	25.94 , $	50.60 , $	5.01 , $	10.48 ,,
,45179.625,16, $	27.94 , $	67.44 , $	23.39 , $	22.17 ,,
,45179.6666666667,17, $	28.69 , $	71.77 , $	33.15 , $	31.65 ,,
,45179.7083333333,17, $	46.59 , $	60.62 , $	29.07 , $	27.85 ,,
,45179.75,19, $	51.91 , $	78.83 , $	32.80 , $	31.58 ,,
,45179.7916666667,20, $	34.66 , $	71.01 , $	25.00 , $	17.00 ,,
,45179.8333333333,20, $	24.28 , $	32.76 , $	12.46 , $	2.49 ,,
,45179.875,22, $	20.14 , $	26.47 , $	7.85 , $	6.63 ,,
,45179.9166666667,23, $	17.96 , $	24.41 , $	7.74 , $	6.24 ,,
,45179.9583333333,23, $	17.07 , $	20.51 , $	6.41 , $	4.20 ,,
,45180,1, $	16.32 , $	19.22 , $	3.50 , $	2.28 ,,
,45180.0416666667,2, $	15.54 , $	18.30 , $	3.00 , $	1.78 ,,
,45180.0833333333,2, $	14.67 , $	17.62 , $	2.31 , $	1.45 ,,
,45180.125,4, $	17.35 , $	17.17 , $	2.08 , $	1.46 ,,
,45180.1666666667,5, $	19.29 , $	17.51 , $	2.30 , $	2.20 ,,
,45180.2083333333,5, $	21.80 , $	18.91 , $	3.01 , $	3.11 ,,
,45180.25,7, $	20.88 , $	22.87 , $	3.46 , $	3.46 ,,
,45180.2916666667,8, $	20.35 , $	22.38 , $	2.40 , $	2.40 ,,
,45180.3333333333,8, $	18.37 , $	21.48 , $	1.80 , $	1.80 ,,
,45180.375,10, $	18.01 , $	20.36 , $	3.80 , $	3.80 ,,
,45180.4166666667,11, $	18.87 , $	21.98 , $	1.99 , $	3.73 ,,
,45180.4583333333,11, $	19.69 , $	25.99 , $	2.15 , $	6.15 ,,
,45180.5,13, $	23.14 , $	29.73 , $	4.09 , $	7.25 ,,
,45180.5416666667,14, $	26.77 , $	38.80 , $	5.62 , $	7.62 ,,
,45180.5833333333,14, $	26.41 , $	52.75 , $	9.99 , $	8.94 ,,
,45180.625,16, $	25.78 , $	71.05 , $	25.87 , $	24.65 ,,
,45180.6666666667,17, $	27.34 , $	80.12 , $	15.00 , $	13.78 ,,
,45180.7083333333,17, $	26.86 , $	54.57 , $	20.22 , $	19.00 ,,
,45180.75,19, $	26.04 , $	50.55 , $	19.00 , $	19.00 ,,
,45180.7916666667,20, $	17.01 , $	45.36 , $	12.49 , $	8.00 ,,
,45180.8333333333,20, $	24.27 , $	28.72 , $	13.15 , $	3.00 ,,
,45180.875,22, $	21.96 , $	35.82 , $	10.82 , $	9.60 ,,
,45180.9166666667,23, $	19.73 , $	28.75 , $	7.03 , $	5.81 ,,
,45180.9583333333,23, $	15.08 , $	24.23 , $	5.98 , $	4.48 ,,
,45181,1, $	(17.09), $	21.28 , $	3.36 , $	2.14 ,,
,45181.0416666667,2, $	(19.87), $	19.93 , $	2.71 , $	1.49 ,,
,45181.0833333333,2, $	19.92 , $	20.05 , $	1.91 , $	1.45 ,,
,45181.125,4, $	21.05 , $	19.70 , $	1.80 , $	1.46 ,,
,45181.1666666667,5, $	21.33 , $	20.59 , $	2.51 , $	2.20 ,,
,45181.2083333333,5, $	23.66 , $	23.34 , $	3.01 , $	3.01 ,,
,45181.25,7, $	27.15 , $	25.51 , $	4.08 , $	4.08 ,,
,45181.2916666667,8, $	25.81 , $	25.15 , $	2.91 , $	2.91 ,,
,45181.3333333333,8, $	29.31 , $	23.47 , $	2.09 , $	2.09 ,,
,45181.375,10, $	24.63 , $	23.62 , $	4.00 , $	4.00 ,,
,45181.4166666667,11, $	23.70 , $	24.99 , $	3.00 , $	4.27 ,,
,45181.4583333333,11, $	23.19 , $	29.47 , $	4.51 , $	7.13 ,,
,45181.5,13, $	25.29 , $	36.50 , $	9.60 , $	9.60 ,,
,45181.5416666667,14, $	31.91 , $	46.73 , $	10.98 , $	10.98 ,,
,45181.5833333333,14, $	37.40 , $	55.63 , $	11.90 , $	10.68 ,,
,45181.625,16, $	51.51 , $	69.21 , $	29.99 , $	28.77 ,,
,45181.6666666667,17, $	60.10 , $	84.67 , $	19.55 , $	18.33 ,,
,45181.7083333333,17, $	70.04 , $	71.44 , $	21.22 , $	20.00 ,,
,45181.75,19, $	34.50 , $	58.17 , $	19.70 , $	19.70 ,,
,45181.7916666667,20, $	38.38 , $	48.23 , $	10.00 , $	8.50 ,,
,45181.8333333333,20, $	31.65 , $	28.96 , $	10.00 , $	3.00 ,,
,45181.875,22, $	33.41 , $	36.42 , $	10.00 , $	8.78 ,,
,45181.9166666667,23, $	39.03 , $	33.20 , $	8.83 , $	6.60 ,,
,45181.9583333333,23, $	33.69 , $	26.05 , $	6.20 , $	4.20 ,,
,45182,1, $	30.25 , $	23.97 , $	2.60 , $	2.20 ,,
,45182.0416666667,2, $	27.87 , $	23.42 , $	1.80 , $	1.32 ,,
,45182.0833333333,2, $	29.38 , $	23.98 , $	1.40 , $	1.32 ,,
,45182.125,4, $	28.42 , $	23.68 , $	1.32 , $	1.32 ,,
,45182.1666666667,5, $	28.55 , $	24.51 , $	1.50 , $	1.48 ,,
,45182.2083333333,5, $	30.16 , $	25.55 , $	2.21 , $	2.60 ,,
,45182.25,7, $	35.62 , $	31.37 , $	1.69 , $	3.14 ,,
,45182.2916666667,8, $	29.62 , $	29.13 , $	2.06 , $	2.06 ,,
,45182.3333333333,8, $	25.41 , $	24.72 , $	1.99 , $	1.99 ,,
,45182.375,10, $	28.69 , $	25.96 , $	4.40 , $	4.40 ,,
,45182.4166666667,11, $	26.14 , $	26.05 , $	3.16 , $	4.06 ,,
,45182.4583333333,11, $	30.41 , $	28.75 , $	4.51 , $	7.13 ,,
,45182.5,13, $	41.18 , $	33.07 , $	9.49 , $	9.89 ,,
,45182.5416666667,14, $	60.89 , $	37.55 , $	10.00 , $	10.02 ,,
,45182.5833333333,14, $	35.28 , $	41.80 , $	10.88 , $	10.00 ,,
,45182.625,16, $	26.81 , $	47.91 , $	16.48 , $	16.48 ,,
,45182.6666666667,17, $	26.44 , $	51.02 , $	21.63 , $	20.41 ,,
,45182.7083333333,17, $	26.81 , $	46.26 , $	16.49 , $	16.49 ,,
,45182.75,19, $	26.59 , $	40.90 , $	10.00 , $	12.52 ,,
,45182.7916666667,20, $	17.27 , $	30.07 , $	10.00 , $	8.50 ,,
,45182.8333333333,20, $	(23.84), $	11.28 , $	10.00 , $	1.98 ,,
,45182.875,22, $	26.61 , $	30.23 , $	9.77 , $	8.55 ,,
,45182.9166666667,23, $	35.89 , $	28.54 , $	7.30 , $	5.80 ,,
,45182.9583333333,23, $	26.72 , $	24.29 , $	3.50 , $	2.28 ,,
,45183,1, $	28.00 , $	23.85 , $	2.00 , $	1.72 ,,
,45183.0416666667,2, $	27.84 , $	22.48 , $	1.78 , $	1.32 ,,
,45183.0833333333,2, $	26.05 , $	22.28 , $	1.49 , $	1.32 ,,
,45183.125,4, $	24.99 , $	22.52 , $	1.49 , $	1.37 ,,
,45183.1666666667,5, $	26.36 , $	23.39 , $	1.50 , $	1.46 ,,
,45183.2083333333,5, $	28.90 , $	25.10 , $	2.00 , $	2.00 ,,
,45183.25,7, $	34.93 , $	29.08 , $	2.00 , $	2.95 ,,
